observation_month,from_stage,to_stage,from_value_thousands,to_value_thousands,revision_thousands,release_date,source_document_id,source_url,source_snapshot_sha256
2025-12,release1,release2,50,48,-2,2026-02-11,USDL-26-0169,https://www.bls.gov/news.release/archives/empsit_02112026.htm,4148db92a14472e40c758f644efb7e876ae680148a754a6d02b23fcbf9e55cb9
2025-12,release2,release3,48,-17,-65,2026-03-06,USDL-26-0367,https://www.bls.gov/news.release/archives/empsit_03062026.htm,4148db92a14472e40c758f644efb7e876ae680148a754a6d02b23fcbf9e55cb9
2026-01,release1,release2,130,126,-4,2026-03-06,USDL-26-0367,https://www.bls.gov/news.release/archives/empsit_03062026.htm,4148db92a14472e40c758f644efb7e876ae680148a754a6d02b23fcbf9e55cb9
2026-01,release2,release3,126,160,34,2026-04-03,USDL-26-0580,https://www.bls.gov/news.release/archives/empsit_04032026.htm,4148db92a14472e40c758f644efb7e876ae680148a754a6d02b23fcbf9e55cb9
2026-02,release1,release2,-92,-133,-41,2026-04-03,USDL-26-0580,https://www.bls.gov/news.release/archives/empsit_04032026.htm,4148db92a14472e40c758f644efb7e876ae680148a754a6d02b23fcbf9e55cb9
2026-02,release2,release3,-133,-156,-23,2026-05-08,USDL-26-0687,https://www.bls.gov/news.release/archives/empsit_05082026.htm,4148db92a14472e40c758f644efb7e876ae680148a754a6d02b23fcbf9e55cb9
2026-03,release1,release2,178,185,7,2026-05-08,USDL-26-0687,https://www.bls.gov/news.release/archives/empsit_05082026.htm,4148db92a14472e40c758f644efb7e876ae680148a754a6d02b23fcbf9e55cb9
2026-03,release2,release3,185,214,29,2026-06-05,USDL-26-0786,https://www.bls.gov/news.release/archives/empsit_06052026.htm,4148db92a14472e40c758f644efb7e876ae680148a754a6d02b23fcbf9e55cb9
2026-04,release1,release2,115,179,64,2026-06-05,USDL-26-0786,https://www.bls.gov/news.release/archives/empsit_06052026.htm,4148db92a14472e40c758f644efb7e876ae680148a754a6d02b23fcbf9e55cb9
2026-04,release2,release3,179,148,-31,2026-07-02,USDL-26-1125,https://www.bls.gov/news.release/archives/empsit_07022026.pdf,4148db92a14472e40c758f644efb7e876ae680148a754a6d02b23fcbf9e55cb9
2026-05,release1,release2,172,129,-43,2026-07-02,USDL-26-1125,https://www.bls.gov/news.release/archives/empsit_07022026.pdf,4148db92a14472e40c758f644efb7e876ae680148a754a6d02b23fcbf9e55cb9
2026-05,release2,release3,129,63,-66,2026-08-07,USDL-26-1291,https://www.bls.gov/news.release/archives/empsit_08072026.htm,4148db92a14472e40c758f644efb7e876ae680148a754a6d02b23fcbf9e55cb9
2026-06,release1,release2,57,20,-37,2026-08-07,USDL-26-1291,https://www.bls.gov/news.release/archives/empsit_08072026.htm,4148db92a14472e40c758f644efb7e876ae680148a754a6d02b23fcbf9e55cb9
2026-06,release2,release3,20,31,11,2026-09-04,USDL-26-1435,https://www.bls.gov/news.release/archives/empsit_09042026.htm,4148db92a14472e40c758f644efb7e876ae680148a754a6d02b23fcbf9e55cb9
2026-07,release1,release2,-23,21,44,2026-09-04,USDL-26-1435,https://www.bls.gov/news.release/archives/empsit_09042026.htm,4148db92a14472e40c758f644efb7e876ae680148a754a6d02b23fcbf9e55cb9
